Data;QuantidadePerdida;SetorProduto;CategoriaProduto;NomeProdutoCompleto;PrecoVenda;Fornecedor;PrecoCusto;TipoPerda;Produto;AcaoReducaoPerda;CustoReducaoPerda;Loja;Ano;NomeMes;NomeDia;ValorTotalPerdaVenda;ValorTotalPerdaCusto
2024-01-06;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;janeiro;sábado;104.85000000000001;60.0
2024-08-31;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;sábado;419.40000000000003;240.0
2024-05-14;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;maio;terça-feira;314.55;180.0
2024-08-11;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;domingo;524.25;300.0
2024-02-14;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;fevereiro;quarta-feira;419.40000000000003;240.0
2024-05-26;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;maio;domingo;104.85000000000001;60.0
2024-06-16;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;junho;domingo;314.55;180.0
2024-06-18;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;terça-feira;314.55;180.0
2024-04-21;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;abril;domingo;314.55;180.0
2024-09-02;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;setembro;segunda-feira;419.40000000000003;240.0
2024-08-26;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;segunda-feira;314.55;180.0
2024-06-22;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;junho;sábado;419.40000000000003;240.0
2024-12-08;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;dezembro;domingo;314.55;180.0
2024-02-01;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;fevereiro;quinta-feira;524.25;300.0
2024-09-22;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;setembro;domingo;419.40000000000003;240.0
2024-03-26;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;março;terça-feira;419.40000000000003;240.0
2024-06-09;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;domingo;524.25;300.0
2024-08-08;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;quinta-feira;104.85000000000001;60.0
2024-07-05;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;julho;sexta-feira;419.40000000000003;240.0
2024-03-23;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;março;sábado;419.40000000000003;240.0
2024-04-06;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;abril;sábado;104.85000000000001;60.0
2024-08-26;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;segunda-feira;209.70000000000002;120.0
2024-06-12;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;junho;quarta-feira;209.70000000000002;120.0
2024-11-28;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;novembro;quinta-feira;314.55;180.0
2024-05-25;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;maio;sábado;524.25;300.0
2024-08-13;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;terça-feira;524.25;300.0
2024-10-28;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;outubro;segunda-feira;524.25;300.0
2024-11-22;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;novembro;sexta-feira;209.70000000000002;120.0
2024-05-19;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;maio;domingo;104.85000000000001;60.0
2024-03-22;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;março;sexta-feira;419.40000000000003;240.0
2024-06-28;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;sexta-feira;209.70000000000002;120.0
2024-08-09;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;agosto;sexta-feira;209.70000000000002;120.0
2024-09-26;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;setembro;quinta-feira;314.55;180.0
2024-02-21;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;fevereiro;quarta-feira;104.85000000000001;60.0
2024-08-26;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;segunda-feira;209.70000000000002;120.0
2024-04-14;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;abril;domingo;524.25;300.0
2024-02-06;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;fevereiro;terça-feira;314.55;180.0
2024-03-06;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;março;quarta-feira;104.85000000000001;60.0
2024-01-08;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;janeiro;segunda-feira;209.70000000000002;120.0
2024-01-13;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;janeiro;sábado;524.25;300.0
2024-11-17;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;novembro;domingo;209.70000000000002;120.0
2024-12-15;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;dezembro;domingo;524.25;300.0
2024-09-13;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;setembro;sexta-feira;419.40000000000003;240.0
2024-08-19;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;agosto;segunda-feira;209.70000000000002;120.0
2024-11-25;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;novembro;segunda-feira;314.55;180.0
2024-08-09;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;sexta-feira;524.25;300.0
2024-02-03;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;fevereiro;sábado;104.85000000000001;60.0
2024-02-22;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;fevereiro;quinta-feira;104.85000000000001;60.0
2024-11-22;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;novembro;sexta-feira;524.25;300.0
2024-02-11;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;domingo;104.85000000000001;60.0
2024-06-13;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;junho;quinta-feira;104.85000000000001;60.0
2024-10-30;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;outubro;quarta-feira;524.25;300.0
2024-08-16;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;sexta-feira;314.55;180.0
2024-07-27;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;julho;sábado;314.55;180.0
2024-11-23;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;novembro;sábado;314.55;180.0
2024-01-26;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;janeiro;sexta-feira;314.55;180.0
2024-03-19;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;março;terça-feira;314.55;180.0
2024-04-14;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;abril;domingo;419.40000000000003;240.0
2024-12-02;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;dezembro;segunda-feira;209.70000000000002;120.0
2024-08-28;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;quarta-feira;209.70000000000002;120.0
2024-08-07;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;quarta-feira;419.40000000000003;240.0
2024-08-19;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;segunda-feira;314.55;180.0
2024-10-30;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;outubro;quarta-feira;104.85000000000001;60.0
2024-04-24;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;abril;quarta-feira;104.85000000000001;60.0
2024-08-03;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;agosto;sábado;524.25;300.0
2024-10-16;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;outubro;quarta-feira;104.85000000000001;60.0
2024-06-19;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;quarta-feira;314.55;180.0
2024-11-19;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;novembro;terça-feira;209.70000000000002;120.0
2024-04-13;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;abril;sábado;419.40000000000003;240.0
2024-10-06;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;outubro;domingo;104.85000000000001;60.0
2024-08-08;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;quinta-feira;524.25;300.0
2024-05-12;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;maio;domingo;104.85000000000001;60.0
2024-06-21;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;sexta-feira;104.85000000000001;60.0
2024-12-30;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;dezembro;segunda-feira;104.85000000000001;60.0
2024-05-23;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;maio;quinta-feira;314.55;180.0
2024-02-17;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;sábado;104.85000000000001;60.0
2024-02-04;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;domingo;524.25;300.0
2024-06-04;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;junho;terça-feira;104.85000000000001;60.0
2024-06-02;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;junho;domingo;419.40000000000003;240.0
2024-01-28;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;janeiro;domingo;104.85000000000001;60.0
2024-09-07;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;setembro;sábado;209.70000000000002;120.0
2024-05-20;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;maio;segunda-feira;209.70000000000002;120.0
2024-12-16;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;dezembro;segunda-feira;314.55;180.0
2024-06-09;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;junho;domingo;104.85000000000001;60.0
2024-10-31;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;outubro;quinta-feira;209.70000000000002;120.0
2024-01-22;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;janeiro;segunda-feira;524.25;300.0
2024-12-09;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;dezembro;segunda-feira;419.40000000000003;240.0
2024-04-25;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;abril;quinta-feira;104.85000000000001;60.0
2024-02-17;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;fevereiro;sábado;524.25;300.0
2024-12-29;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;dezembro;domingo;524.25;300.0
2024-09-01;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;setembro;domingo;419.40000000000003;240.0
2024-08-13;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;terça-feira;209.70000000000002;120.0
2024-07-29;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;julho;segunda-feira;104.85000000000001;60.0
2024-04-12;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;abril;sexta-feira;314.55;180.0
2024-05-04;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;maio;sábado;104.85000000000001;60.0
2024-08-19;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;agosto;segunda-feira;524.25;300.0
2024-09-22;45;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;setembro;domingo;314.55;180.0
2024-08-11;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;agosto;domingo;524.25;300.0
2024-12-06;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;dezembro;sexta-feira;524.25;300.0
2024-05-21;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Shop. Market Place;2024;maio;terça-feira;419.40000000000003;240.0
2024-03-25;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;março;segunda-feira;419.40000000000003;240.0
2024-04-29;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;abril;segunda-feira;524.25;300.0
2024-05-27;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;maio;segunda-feira;524.25;300.0
2024-09-30;60;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;setembro;segunda-feira;419.40000000000003;240.0
2024-10-03;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;outubro;quinta-feira;104.85000000000001;60.0
2024-02-13;15;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;fevereiro;terça-feira;104.85000000000001;60.0
2024-04-19;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Itaim Bibi;2024;abril;sexta-feira;209.70000000000002;120.0
2024-09-10;75;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;setembro;terça-feira;524.25;300.0
2024-03-07;30;Hortifruti;Verduras;Acelga Kg;6.99;Terra Boa;4.0;Deterioração rápida;Acelga;Sistema de Hidroresfriamento;500;Morumbi;2024;março;quinta-feira;209.70000000000002;120.0
